"ano","pais","sigla","regiao","democracia","pib","populacao","variavel_dependente","despesas","mortes"
1972,"Mexico","MEX","Americas",0.249,840,53543436,1,0,111
1973,"Australia","AUS","Oceania",0.87,4650,13380000,1,0,48
1973,"Iceland","ISL","Europe",0.832,NA,212317,0,0,0
1973,"Italy","ITA","Europe",0.752,3250,54751406,1,0,76
1973,"Japan","JPN","Asia",0.842,3660,108707000,0,0,303
1973,"Mexico","MEX","Americas",0.249,1010,55228203,1,0,2058
1974,"Australia","AUS","Oceania",0.868,5950,13723000,1,0,360
1974,"Chile","CHL","Americas",0.071,1650,10472743,1,0,96
1974,"Iceland","ISL","Europe",0.831,NA,215209,0,0,24
1974,"Japan","JPN","Asia",0.842,4490,110162000,0,0,993
1974,"Mexico","MEX","Americas",0.251,1230,56945880,1,0,39
1975,"Austria","AUT","Europe",0.854,5540,7578903,1,0,45
1975,"Italy","ITA","Europe",0.758,4320,55441001,1,0,24
1975,"Japan","JPN","Asia",0.842,5230,111573000,0,0,294
1975,"Mexico","MEX","Americas",0.251,1480,58691882,1,0,87
1975,"Romania","ROU","Europe",0.187,NA,21293583,0,0,120
1975,"Switzerland","CHE","Europe",0.861,NA,6338632,1,0,39
1975,"Thailand","THA","Asia",0.283,400,40908471,1,0,478
1976,"Australia","AUS","Oceania",0.867,7870,14033000,1,0,0
1976,"Austria","AUT","Europe",0.856,5980,7565525,1,0,0
1976,"Belgium","BEL","Europe",0.855,7580,9818227,1,0,0
1976,"Denmark","DNK","Europe",0.909,8960,5072596,1,0,0
1976,"France","FRA","Europe",0.856,7170,53966558,1,0,0
1976,"Iceland","ISL","Europe",0.829,NA,220154,0,0,2
1976,"Japan","JPN","Asia",0.841,5480,112775000,0,0,507
1976,"Mexico","MEX","Americas",0.262,1560,60452543,1,0,2160
1976,"Netherlands","NLD","Europe",0.848,8170,13774037,1,0,0
1976,"Sweden","SWE","Europe",0.911,10720,8222286,0,0,0
1976,"Switzerland","CHE","Europe",0.857,NA,6302504,1,0,0
1977,"Australia","AUS","Oceania",0.867,8080,14192000,1,0,12
1977,"Chile","CHL","Americas",0.072,1060,10969861,1,0,45
1977,"France","FRA","Europe",0.856,7840,54221988,1,0,52
1977,"Japan","JPN","Asia",0.839,6020,113872000,0,0,123
1977,"Mexico","MEX","Americas",0.276,1490,62262505,1,0,30
1977,"Romania","ROU","Europe",0.187,NA,21756096,0,0,3282
1977,"South Africa","ZAF","Africa",0.162,1650,27199838,1,0,12
1977,"Sweden","SWE","Europe",0.91,11290,8251540,0,0,26
1977,"Switzerland","CHE","Europe",0.863,NA,6281174,1,0,0
1977,"Thailand","THA","Asia",0.125,470,42843802,1,0,200
1978,"Australia","AUS","Oceania",0.865,8470,14358000,1,0,48
1978,"Chile","CHL","Americas",0.072,1360,11137748,1,0,12
1978,"France","FRA","Europe",0.859,8860,54486195,1,0,6
1978,"Japan","JPN","Asia",0.839,7550,114913000,0,0,201
1978,"Mexico","MEX","Americas",0.295,1600,64123997,1,0,45
1978,"South Africa","ZAF","Africa",0.161,1750,27943445,1,0,78
1978,"Thailand","THA","Asia",0.125,540,43806715,1,0,292
1979,"Australia","AUS","Oceania",0.865,9600,14514000,1,0,60
1979,"Chile","CHL","Americas",0.073,1780,11304331,1,0,90
1979,"France","FRA","Europe",0.86,10850,54753575,1,0,22
1979,"Japan","JPN","Asia",0.84,9570,115890000,0,0,282
1979,"Mexico","MEX","Americas",0.296,1900,65972912,1,0,15
1979,"Portugal","PRT","Europe",0.755,2870,9661265,0,0,46
1980,"Austria","AUT","Europe",0.0859,11460,7549433,1,0,0
1980,"Denmark","DNK","Europe",0.0906,15090,5123027,1,0,0
1980,"France","FRA","Europe",0.086,13100,55052582,1,0,12
1980,"Japan","JPN","Asia",0.0841,11000,116807000,0,0,87
1980,"Mexico","MEX","Americas",0.03,2560,67705186,1,0,513
1980,"Portugal","AZO","Europe",0.0841,3350,9766312,0,0,138
1980,"South Africa","ZAF","Africa",0.016,2660,29463549,1,0,0
1980,"Spain","ESP","Europe",0.0871,6210,37491165,1,0,0
1980,"Thailand","THA","Asia",0.0251,740,45737753,1,0,114
1981,"Australia","AUS","Oceania",0.875,11870,14923260,1,0,8
1981,"Austria","AUT","Europe",0.859,11180,7568710,1,0,0
1981,"Denmark","DNK","Europe",0.906,14180,5121572,1,0,18
1981,"France","FRA","Europe",0.867,13200,55371044,1,0,0
1981,"Japan","JPN","Asia",0.841,11300,117661000,0,0,609
1981,"Mexico","MEX","Americas",0.304,3300,69233769,1,0,309
1981,"Portugal","PRT","Europe",0.843,3420,9851362,0,0,60
1981,"South Africa","ZAF","Africa",0.176,3050,30232561,1,0,312
1981,"Spain","ESP","Europe",0.871,6310,37758631,1,0,0
1981,"Thailand","THA","Asia",0.293,780,46727292,1,0,110
1982,"Australia","AUS","Oceania",0.875,12080,15184247,1,0,4
1982,"Austria","AUT","Europe",0.859,10380,7574140,1,0,36
1982,"Chile","CHL","Americas",0.074,2040,11807408,1,0,0
1982,"France","FRA","Europe",0.873,12050,55694106,1,0,60
1982,"Japan","JPN","Asia",0.841,10690,118480000,0,0,2019
1982,"Mexico","MEX","Americas",0.313,3030,70656783,1,0,1107
1982,"South Africa","ZAF","Africa",0.176,2940,31022417,1,0,0
1982,"Spain","ESP","Europe",0.882,5680,37986012,1,0,231
1982,"Switzerland","CHE","Europe",0.87,NA,6391309,1,0,0
1983,"Australia","AUS","Oceania",0.876,11570,15393472,1,0,300
1983,"Austria","AUT","Europe",0.859,9600,7561910,1,0,0
1983,"Belgium","BEL","Europe",0.861,9430,9855520,1,0,2
1983,"Chile","CHL","Americas",0.074,1640,11976513,1,0,12
1983,"Denmark","DNK","Europe",0.91,11710,5114297,1,0,4
1983,"France","FRA","Europe",0.873,10450,55992656,1,0,110
1983,"Iceland","ISL","Europe",0.851,NA,236977,0,0,8
1983,"Ireland","IRL","Europe",0.835,5720,3510600,0,0,20
1983,"Israel","ISR","Asia",0.771,NA,4105000,0,0,0
1983,"Japan","JPN","Asia",0.841,10360,119307000,0,0,1395
1983,"Luxembourg","LUX","Europe",0.874,13410,365622,1,0,0
1983,"Mexico","MEX","Americas",0.32,2410,72080310,1,0,975
1983,"Portugal","PRT","Europe",0.861,2830,9957865,0,0,38
1983,"Romania","ROU","Europe",0.186,NA,22560478,0,0,0
1983,"South Africa","ZAF","Africa",0.176,2700,31865176,1,0,30
1983,"Spain","ESP","Europe",0.887,4860,38171525,1,0,135
1983,"Switzerland","CHE","Europe",0.871,NA,6418773,1,0,0
1983,"Thailand","THA","Asia",0.328,790,48670565,1,0,100
1984,"Australia","AUS","Oceania",0.884,12000,15579391,1,0,144
1984,"Austria","AUT","Europe",0.859,9270,7561434,1,0,126
1984,"Belgium","BEL","Europe",0.861,8860,9855372,1,0,0
1984,"Chile","CHL","Americas",0.075,1450,12147758,1,0,381
1984,"France","FRA","Europe",0.873,9830,56275701,1,0,8
1984,"Hungary","HUN","Europe",0.137,NA,10668095,0,0,8
1984,"Iceland","ISL","Europe",0.851,NA,239511,0,0,0
1984,"Japan","JPN","Asia",0.842,10640,120083000,0,0,102
1984,"Mexico","MEX","Americas",0.32,2220,73489654,1,0,12
1984,"Netherlands","NLD","Europe",0.863,10510,14424211,1,0,0
1984,"Romania","ROU","Europe",0.186,NA,22640547,0,0,0
1984,"South Africa","ZAF","Africa",0.176,2640,32768207,1,0,192
1984,"Spain","ESP","Europe",0.887,4580,38330364,1,0,78
1984,"Switzerland","CHE","Europe",0.873,NA,6441865,1,0,0
1984,"Thailand","THA","Asia",0.34,820,49636724,1,0,34
1985,"Australia","AUS","Oceania",0.887,11990,15788312,1,0,152
1985,"Austria","AUT","Europe",0.86,9360,7564985,1,0,36
1985,"Belgium","BEL","Europe",0.861,8820,9858308,1,0,0
1985,"Chile","CHL","Americas",0.077,1420,12326396,1,0,540
1985,"Denmark","DNK","Europe",0.908,11840,5113691,1,0,0
1985,"France","FRA","Europe",0.873,9780,56569195,1,0,12
1985,"Italy","ITA","Europe",0.828,8030,56593071,1,0,658
1985,"Japan","JPN","Asia",0.841,11690,120837000,0,0,147
1985,"Mexico","MEX","Americas",0.324,2300,74872006,1,0,28500
1985,"Netherlands","NLD","Europe",0.863,10120,14491632,1,0,0
1985,"Spain","ESP","Europe",0.887,4550,38469512,1,0,120
1985,"Sweden","SWE","Europe",0.911,13080,8350386,0,0,22
1985,"Switzerland","CHE","Europe",0.873,NA,6470365,1,0,0
1985,"Thailand","THA","Asia",0.34,820,50594940,1,0,36
1986,"Australia","AUS","Oceania",0.887,12310,16018350,1,0,60
1986,"Chile","CHL","Americas",0.077,1460,12514502,1,0,117
1986,"France","FRA","Europe",0.872,11350,56865193,1,0,10
1986,"Hungary","HUN","Europe",0.147,NA,10630564,0,0,0
1986,"Ireland","IRL","Europe",0.838,6370,3539690,0,0,22
1986,"Italy","ITA","Europe",0.828,9380,56596155,1,0,4
1986,"Japan","JPN","Asia",0.841,14080,121482000,0,0,192
1986,"Mexico","MEX","Americas",0.327,2100,76224365,1,0,60
1986,"Netherlands","NLD","Europe",0.862,11450,14572278,1,0,0
1986,"South Africa","ZAF","Africa",0.177,2090,34877834,1,0,0
1986,"Switzerland","CHE","Europe",0.873,NA,6504124,1,0,0
1986,"Thailand","THA","Asia",0.339,860,51542094,1,0,84
1987,"Chile","CHL","Americas",0.08,1650,12712784,1,0,492
1987,"France","FRA","Europe",0.872,14500,57168409,1,0,54
1987,"Ireland","IRL","Europe",0.846,8220,3540057,0,0,0
1987,"Italy","ITA","Europe",0.826,12160,56601931,1,0,180
1987,"Japan","JPN","Asia",0.841,18370,122069000,0,0,30
1987,"Mexico","MEX","Americas",0.331,2090,77553504,1,0,54
1987,"Poland","POL","Europe",0.191,NA,37668045,0,0,0
1987,"South Africa","ZAF","Africa",0.177,2290,36119333,1,0,1518
1987,"Spain","ESP","Europe",0.89,7110,38684815,1,0,15
1987,"Switzerland","CHE","Europe",0.873,NA,6545106,1,0,3
1987,"Thailand","THA","Asia",0.338,980,52479181,1,0,48
1988,"Australia","AUS","Oceania",0.886,14140,16532164,1,0,68
1988,"Chile","CHL","Americas",0.113,1920,12918389,1,0,0
1988,"France","FRA","Europe",0.878,18570,57472651,1,0,20
1988,"Iceland","ISL","Europe",0.86,NA,249740,0,0,0
1988,"Japan","JPN","Asia",0.841,25200,122578000,0,0,81
1988,"Mexico","MEX","Americas",0.344,2140,78892015,1,0,933
1988,"South Africa","ZAF","Africa",0.177,2730,37393853,1,0,75
1988,"Switzerland","CHE","Europe",0.872,NA,6593386,1,0,0
1988,"Thailand","THA","Asia",0.358,1190,53410965,1,0,1328
1989,"Australia","AUS","Oceania",0.886,15600,16814416,1,0,132
1989,"France","FRA","Europe",0.878,19550,57766282,1,0,18
1989,"Japan","JPN","Asia",0.841,27480,123069000,0,0,129
1989,"Mexico","MEX","Americas",0.369,2430,80233749,1,0,129
1989,"Portugal","PRT","Europe",0.872,6320,10005000,0,0,0
1989,"Spain","ESP","Europe",0.891,10700,38827764,1,0,135
1989,"Thailand","THA","Asia",0.378,1350,54324004,1,0,916
1990,"Australia","AUS","Oceania",0.0893,17340,17065128,1,0,48
1990,"Austria","AUT","Europe",0.086,20630,7677850,1,0,9
1990,"Bulgaria","BGR","Europe",0.057,2250,8718289,0,0,3
1990,"Canada","CAN","Americas",0.0834,20650,27691138,1,0,32
1990,"Denmark","DNK","Europe",0.0906,24370,5140939,1,0,2
1990,"Finland","FIN","Europe",0.0858,26000,4986431,1,0,0
1990,"France","FRA","Europe",0.0878,20710,58044701,1,0,124
1990,"Ireland","IRL","Europe",0.0857,12560,3513974,0,0,4
1990,"Japan","JPN","Asia",0.0843,28390,123478000,0,0,67
1990,"Luxembourg","LUX","Europe",0.0875,31330,381850,1,0,0
1990,"Mexico","MEX","Americas",0.0393,2860,81720428,1,0,1389
1990,"Netherlands","NLD","Europe",0.0863,19900,14951510,1,0,40
1990,"Norway","NOR","Europe",0.0878,26500,4241473,1,0,0
1990,"South Africa","ZAF","Africa",0.0224,2890,39877570,1,0,36
1990,"Spain","ESP","Europe",0.0893,12210,38867322,1,0,27
1990,"Sweden","SWE","Europe",0.0915,27760,8558835,0,0,0
1990,"Switzerland","CHE","Europe",0.0886,NA,6715519,1,9.27441683411598,20
1990,"Tunisia","TUN","Africa",0.0132,1380,8440023,0,0,37
1991,"Australia","AUS","Oceania",0.894,18240,17284036,1,0,0
1991,"Austria","AUT","Europe",0.859,21810,7754891,1,0,15
1991,"Canada","CAN","Americas",0.834,20990,28037420,1,0,72
1991,"France","FRA","Europe",0.878,21420,58557577,1,0,40
1991,"Germany","DEU","Europe",0.893,22890,80013896,1,0,0
1991,"Germany","DFR","Europe",0.893,22890,80013896,1,0,20
1991,"Ireland","IRL","Europe",0.874,13130,3534235,0,0,0
1991,"Israel","ISR","Asia",0.774,NA,4949000,0,0,10
1991,"Mexico","MEX","Americas",0.415,3330,83351595,1,0,352
1991,"Portugal","PRT","Europe",0.866,8180,9960235,0,0,0
1991,"South Africa","ZAF","Africa",0.255,3020,40910959,1,0,15
1991,"Spain","ESP","Europe",0.893,13700,38966376,1,0,0
1992,"Australia","AUS","Oceania",0.894,18570,17478635,1,0,8
1992,"Canada","CAN","Americas",0.831,21420,28371264,1,0,68
1992,"Chile","CHL","Americas",0.819,3100,13782297,1,0,0
1992,"Denmark","DNK","Europe",0.908,28700,5171370,1,0,0
1992,"France","FRA","Europe",0.878,23840,58849943,1,0,142
1992,"Germany","DEU","Europe",0.893,25810,80624598,1,0,4
1992,"Hungary","HUN","Europe",0.845,NA,10369341,0,0,0
1992,"Israel","ISR","Asia",0.768,NA,5123000,0,0,0
1992,"Mexico","MEX","Americas",0.441,3860,84993164,1,0,332
1992,"Netherlands","NLD","Europe",0.863,23030,15184166,1,0,0
1992,"Norway","NOR","Europe",0.878,30780,4286401,1,0,0
1993,"Australia","AUS","Oceania",0.892,18950,17634808,1,0,72
1993,"Austria","AUT","Europe",0.86,24870,7905633,1,0,0
1993,"Belarus","BLR","Europe",0.558,1680,10239050,0,0,0
1993,"Bulgaria","BGR","Europe",0.693,1250,8472313,0,0,0
1993,"Canada","CAN","Americas",0.832,21270,28684764,1,0,0
1993,"Chile","CHL","Americas",0.817,3430,13998386,1,0,345
1993,"France","FRA","Europe",0.877,23580,59106166,1,0,32
1993,"Germany","DEU","Europe",0.893,25990,81156363,1,0,44
1993,"Ireland","IRL","Europe",0.873,14600,3576261,0,0,9
1993,"Luxembourg","LUX","Europe",0.875,40050,397475,1,0,0
1993,"Mexico","MEX","Americas",0.455,4700,86648447,1,0,412
1993,"Mongolia","MNG","Asia",0.71,510,2270311,0,0,21
1993,"Netherlands","NLD","Europe",0.863,23540,15290368,1,0,2
1993,"Norway","NOR","Europe",0.879,30210,4311991,1,0,0
1993,"South Africa","ZAF","Africa",0.265,3440,42525440,1,0,57
1993,"Switzerland","CHE","Europe",0.886,NA,6938265,1,6.76473324000834,8
1994,"Australia","AUS","Oceania",0.891,18930,17805468,1,0,144
1994,"Austria","AUT","Europe",0.859,26140,7936118,1,0,0
1994,"Canada","CAN","Americas",0.839,20890,29000663,1,0,0
1994,"France","FRA","Europe",0.877,24380,59327585,1,0,26
1994,"Germany","DEU","Europe",0.894,27530,81438348,1,0,52
1994,"Japan","JPN","Asia",0.844,37630,125178000,0,0,30
1994,"Mexico","MEX","Americas",0.474,5600,88314424,1,0,0
1994,"Mongolia","MNG","Asia",0.71,420,2301510,0,0,15
1994,"Netherlands","NLD","Europe",0.861,24850,15382838,1,0,0
1994,"Poland","POL","Europe",0.888,2760,38542652,0,0,2
1994,"South Africa","ZAF","Africa",0.39,3610,43267982,1,0,6
1994,"Spain","ESP","Europe",0.89,14470,39549108,1,0,126
1994,"Switzerland","CHE","Europe",0.886,NA,6993795,1,2.26086619496346,0
1995,"Austria","AUT","Europe",0.856,28190,7948278,1,2.01122019812465,8
1995,"Belarus","BLR","Europe",0.499,1370,10193831,0,0,13
1995,"Belgium","BEL","Europe",0.881,27070,10136811,1,2.08689944446086,24
1995,"Canada","CAN","Americas",0.839,20850,29302311,1,0,8
1995,"Chile","CHL","Americas",0.856,4410,14416796,1,0,66
1995,"Cyprus","CYP","Asia",0.774,12810,862418,0,1.9133333787322,6
1995,"France","FRA","Europe",0.875,25740,59543659,1,1.77579726278782,48
1995,"Georgia","GEO","Asia",0.365,550,4657722,1,0,3
1995,"Germany","DEU","Europe",0.896,29520,81678051,1,4.00895813852549,20
1995,"Greece","GRC","Europe",0.888,NA,10562153,1,5.48595495522022,156
1995,"Iceland","ISL","Europe",0.869,NA,267468,0,0,102
1995,"Israel","ISR","Asia",0.772,NA,5545000,0,0,0
1995,"Japan","JPN","Asia",0.844,42840,125472000,0,0,15900
1995,"Luxembourg","LUX","Europe",0.875,45760,408625,1,1.97238519787788,0
1995,"Mexico","MEX","Americas",0.493,5160,89969572,1,0,1196
1995,"Netherlands","NLD","Europe",0.86,27110,15459006,1,1.94815088808537,3
1995,"Norway","NOR","Europe",0.88,32690,4359184,1,1.86500059068203,3
1995,"Peru","PER","Americas",0.242,1940,24449055,1,0,80
1995,"Romania","ROU","Europe",0.561,1490,22684270,0,1,6
1995,"South Africa","ZAF","Africa",0.649,3780,43986084,1,0,621
1995,"Spain","ESP","Europe",0.89,14830,39724050,1,3.87736653536558,120
1995,"Thailand","THA","Asia",0.433,2740,59424834,1,0,516
1996,"Austria","AUT","Europe",0.863,30090,7959017,1,1.92788684740663,0
1996,"Belarus","BLR","Europe",0.447,1450,10159569,0,0,0
1996,"Canada","CAN","Americas",0.844,20820,29610218,1,0,40
1996,"Croatia","HRV","Europe",0.408,NA,4557097,0,1.37109166383743,0
1996,"Cyprus","CYP","Asia",0.774,13880,880058,0,1.92528737336397,0
1996,"France","FRA","Europe",0.881,27110,59756533,1,5.32801267504692,15
1996,"Germany","DEU","Europe",0.896,30860,81914831,1,2.02452351152897,0
1996,"Greece","GRC","Europe",0.887,NA,10608800,1,1.79020975530148,0
1996,"Hungary","HUN","Europe",0.847,4370,10311238,0,1.48315250873566,0
1996,"Iceland","ISL","Europe",0.873,NA,268916,0,0,0
1996,"Ireland","IRL","Europe",0.878,18880,3637510,0,2.22713607549667,6
1996,"Italy","ITA","Europe",0.841,21830,56860281,1,5.78121064603329,51
1996,"Japan","JPN","Asia",0.843,43940,125757000,0,0,60
1996,"Mexico","MEX","Americas",0.515,4950,91586555,1,0,64
1996,"Mongolia","MNG","Asia",0.703,540,2357033,0,0,222
1996,"Peru","PER","Americas",0.368,2140,24907304,1,0,84
1996,"Portugal","AZO","Europe",0.872,12100,10063945,0,1.63897815346718,0
1996,"Portugal","PRT","Europe",0.872,12100,10063945,0,3.27795630693436,30
1996,"Romania","ROU","Europe",0.577,1640,22619004,0,2.16326522827148,48
1996,"South Africa","ZAF","Africa",0.664,3830,44661603,1,0,294
1996,"Spain","ESP","Europe",0.891,15560,39889852,1,3.89445766061545,340
1996,"Thailand","THA","Asia",0.412,2950,60211096,1,0,200
1997,"Austria","AUT","Europe",0.863,29560,7968041,1,1.76463334262371,12
1997,"Belarus","BLR","Europe",0.371,1540,10117433,0,0,5
1997,"Bulgaria","BGR","Europe",0.709,1460,8312068,0,1.90787637978792,0
1997,"Canada","CAN","Americas",0.842,21330,29905948,1,0,20
1997,"Chile","CHL","Americas",0.856,5610,14809289,1,0,88
1997,"Croatia","HRV","Europe",0.422,5600,4534920,0,1.35763174295425,0
1997,"France","FRA","Europe",0.878,26930,59969944,1,5.38099247217178,69
1997,"Georgia","GEO","Asia",0.379,820,4349913,1,0,21
1997,"Germany","DEU","Europe",0.896,30140,82034771,1,3.98754261434078,120
1997,"Greece","GRC","Europe",0.886,NA,10661259,1,1.89588382095098,27
1997,"Hungary","HUN","Europe",0.847,4400,10290486,0,1.84206449985504,0
1997,"Israel","ISR","Asia",0.772,19770,5836000,0,0,30
1997,"Italy","ITA","Europe",0.849,22300,56890372,1,5.81759590655565,108
1997,"Japan","JPN","Asia",0.838,40760,126057000,0,0,84
1997,"Mexico","MEX","Americas",0.559,4980,93183094,1,0,2268
1997,"Netherlands","NLD","Europe",0.86,29400,15610650,1,1.95546704530716,6
1997,"Peru","PER","Americas",0.368,2270,25365386,1,0,3276
1997,"Poland","POL","Europe",0.87,4240,38649660,0,3.68358427286148,315
1997,"Portugal","AZO","Europe",0.872,12370,10108977,0,1.70775416493416,87
1997,"Portugal","PRT","Europe",0.872,12370,10108977,0,3.41550832986832,87
1997,"Romania","ROU","Europe",0.622,1590,22553978,0,2.39560437202454,96
1997,"South Africa","ZAF","Africa",0.664,3790,45285048,1,0,60
1997,"Spain","ESP","Europe",0.891,15820,40057389,1,5.81295488029718,104
1997,"Switzerland","CHE","Europe",0.89,49290,7088906,1,2.26605798304081,0
1997,"Thailand","THA","Asia",0.484,2670,60989108,1,0,424
1998,"Albania","ALB","Europe",0.394,860,3128530,0,0,0
1998,"Austria","AUT","Europe",0.861,27970,7976789,1,1.79120717942715,0
1998,"Belgium","BEL","Europe",0.882,26530,10203008,1,3.92544242739677,4
1998,"Bulgaria","BGR","Europe",0.703,1440,8256786,0,1.88611768186092,9
